"Nº";"Instancia";"Eje temático";"Tema del día";"Fecha";"TPs entregados (grupos)";"Defensas/Resultados";"Observaciones"
"1";"Encuadre y diagnóstico";"Presentación y diagnóstico";"Encuadre y diagnóstico";"";"";"";""
"2";"Saberes previos";"Intensificación y Fortalecimiento";"Nivelación: terminal";"";"";"";""
"3";"Saberes previos";"Intensificación y Fortalecimiento";"Nivelación: web y entregas";"";"";"";""
"4";"Unidad 1";"Fundamentos del lenguaje Python";"Primer programa y variables";"";"";"";""
"5";"Unidad 1";"Fundamentos del lenguaje Python";"Entrada y salida por consola";"";"";"";""
"6";"Unidad 1";"Fundamentos del lenguaje Python";"Condicionales y operadores";"";"";"";""
"7";"Unidad 1";"Fundamentos del lenguaje Python";"Bucles for y while";"";"";"";""
"8";"Unidad 1 (cierre)";"Fundamentos del lenguaje Python";"Cierre U1: repaso y TP";"";"TP-U1: programa de consola con entrada y control de flujo";"";""
"9";"Evaluación U1";"Evaluación de unidad";"Evaluación de la Unidad 1";"";"";"";""
"10";"Unidad 2";"Estructuras de datos y funciones";"Listas y mutabilidad";"";"";"";""
"11";"Unidad 2";"Estructuras de datos y funciones";"Tuplas y conjuntos (set)";"";"";"";""
"12";"Unidad 2";"Estructuras de datos y funciones";"Diccionarios: clave y valor";"";"";"";""
"13";"Unidad 2";"Estructuras de datos y funciones";"Funciones y ámbito local";"";"";"";""
"14";"Unidad 2 (cierre)";"Estructuras de datos y funciones";"Cierre U2: repaso y TP";"";"TP-U2: programa con colecciones y funciones";"";""
"15";"Evaluación U2";"Evaluación de unidad";"Evaluación de la Unidad 2";"";"";"";""
"16";"Cierre de cuatrimestre 1";"Intensificación y Fortalecimiento";"Cierre del cuatrimestre 1";"";"";"";""
"17";"Intensificación y fortalecimiento U1-U2";"Intensificación y Fortalecimiento";"Intensif. y fortalec. U1-U2 (1/2)";"";"";"";""
"18";"Intensificación y fortalecimiento U1-U2";"Intensificación y Fortalecimiento";"Intensif. y fortalec. U1-U2 (2/2)";"";"";"";""
"19";"Proyecto puente";"Intensificación y Fortalecimiento";"Proyecto puente (1/2)";"";"";"";""
"20";"Proyecto puente";"Intensificación y Fortalecimiento";"Proyecto puente (2/2)";"";"";"";""
"21";"Unidad 3";"Procesamiento de texto y validación";"Cadenas: métodos de texto";"";"";"";""
"22";"Unidad 3";"Procesamiento de texto y validación";"Validación con try/except";"";"";"";""
"23";"Unidad 3";"Procesamiento de texto y validación";"Módulos y menú en memoria";"";"";"";""
"24";"Unidad 3";"Procesamiento de texto y validación";"Integración: menú del TP";"";"";"";""
"25";"Unidad 3 (cierre)";"Procesamiento de texto y validación";"Cierre U3: repaso y TP";"";"TP-U3: menú de consola validado";"";""
"26";"Evaluación U3";"Evaluación de unidad";"Evaluación de la Unidad 3";"";"";"";""
"27";"Unidad 4";"Trabajo integrador profesional";"Lanzamiento del integrador";"";"";"";""
"28";"Unidad 4";"Git, GitHub y trabajo colaborativo";"Ramas y pull requests";"";"";"";""
"29";"Unidad 4";"Trabajo integrador profesional";"Desarrollo del integrador";"";"";"";""
"30";"Unidad 4";"Trabajo integrador profesional";"Consolidación del integrador";"";"";"";""
"31";"Unidad 4 (cierre)";"Trabajo integrador profesional";"Cierre U4: entrega final";"";"Trabajo final: programa integrador con repositorio profesional";"";""
"32";"Evaluación U4";"Trabajo integrador profesional";"Defensa del integrador";"";"";"";""
"33";"Cierre de cuatrimestre 2";"Intensificación y Fortalecimiento";"Cierre del cuatrimestre 2";"";"";"";""
"34";"Intensificación y fortalecimiento U3-U4";"Intensificación y Fortalecimiento";"Intensif. y fortalec. U3-U4 (1/2)";"";"";"";""
"35";"Intensificación y fortalecimiento U3-U4";"Intensificación y Fortalecimiento";"Intensif. y fortalec. U3-U4 (2/2)";"";"";"";""
"36";"Cierre integral";"Intensificación y Fortalecimiento";"Cierre integral anual";"";"";"";""
"D";"Mesa de diciembre";"Evaluación";"Mesa de diciembre";"";"";"";""
"M";"Mesa de marzo";"Evaluación";"Mesa de marzo";"";"";"";""
