"Nº Clase";"Eje Temático";"Nº Eje";"Carácter/Objetivo";"Tema del Día";"Actividades";"Fecha";"Material"
"1";"Presentación y diagnóstico";"6";"Actitudinal";"Encuadre y diagnóstico";"Contrato, SyH, EPP, diagnóstico";"";""
"2";"Intensificación y Fortalecimiento";"6";"Procedimental";"Nivelación: terminal";"Archivos, carpetas y comandos";"";""
"3";"Intensificación y Fortalecimiento";"6";"Procedimental";"Nivelación: web y JSON";"Petición y respuesta, JSON";"";""
"4";"F";"1";"Conceptual";"Primer programa en Python";"Variables, tipos, input y print";"";""
"5";"F";"1";"Procedimental";"Condicionales y bucles";"if/elif/else, while y for";"";""
"6";"F";"1";"Procedimental";"Listas y cadenas";"Listas y métodos de cadenas";"";""
"7";"T";"5";"Procedimental";"Git y GitHub: ciclo completo";"gitignore, init, commit, push";"";""
"8";"F";"1";"Actitudinal";"Cierre U1: repaso y TP";"Sistematización y TP-U1";"";""
"9";"Fundamentos de Minimal API";"1";"Procedimental";"Evaluación de la Unidad 1";"Defensa oral y prueba A/B";"";""
"10";"F";"2";"Conceptual";"Funciones: def y return";"Parámetros, return y reuso";"";""
"11";"F";"2";"Procedimental";"Leer archivos de texto";"with open y FileNotFoundError";"";""
"12";"F";"2";"Procedimental";"Escribir archivos de texto";"Escritura y sobrescritura";"";""
"13";"F";"2";"Procedimental";"Menú con persistencia";"Programa completo en un .py";"";""
"14";"F";"2";"Actitudinal";"Cierre U2: repaso y TP";"Sistematización y TP-U2";"";""
"15";"Acceso a datos con Dapper";"2";"Procedimental";"Evaluación de la Unidad 2";"Defensa oral y prueba A/B";"";""
"16";"Intensificación y Fortalecimiento";"6";"Conceptual";"Cierre del cuatrimestre 1";"Devolución U2, síntesis y metac.";"";""
"17";"Intensificación y Fortalecimiento";"6";"Procedimental";"Intensif. y fortalec. U1-U2 (1/2)";"Pistas diferenciadas";"";""
"18";"Intensificación y Fortalecimiento";"6";"Procedimental";"Intensif. y fortalec. U1-U2 (2/2)";"Refuerzo y profundización";"";""
"19";"Intensificación y Fortalecimiento";"6";"Procedimental";"Proyecto puente (1/2)";"Consigna única y plan";"";""
"20";"Intensificación y Fortalecimiento";"6";"Procedimental";"Proyecto puente (2/2)";"Entrega y rúbrica de 100";"";""
"21";"D";"3";"Procedimental";"Diccionarios y registros";"Clave-valor y listas de dicts";"";""
"22";"D";"3";"Procedimental";"CSV plano a mano";"split, strip y join de líneas";"";""
"23";"D";"3";"Procedimental";"JSON con la stdlib";"json.load y json.dump";"";""
"24";"D";"3";"Procedimental";"TXT, CSV o JSON: elección";"Comparar formatos y migrar";"";""
"25";"D";"3";"Actitudinal";"Cierre U3: repaso y TP";"Sistematización y TP-U3";"";""
"26";"Integración y publicación";"3";"Procedimental";"Evaluación de la Unidad 3";"Defensa oral y prueba A/B";"";""
"27";"P";"4";"Procedimental";"Git profesional: ramas y PR";"Issues, ramas feature y PR";"";""
"28";"P";"4";"Procedimental";"README y main protegida";"README, PR revisados, reglas";"";""
"29";"P";"4";"Procedimental";"Integrador: diseño y núcleo";"Plan por issues y primer núcleo";"";""
"30";"P";"4";"Procedimental";"Integrador: datos y funciones";"JSON y persistencia completa";"";""
"31";"P";"4";"Actitudinal";"Cierre U4: entrega y defensa";"Sistematización y entrega TF";"";""
"32";"Trabajo integrador profesional";"4";"Actitudinal";"Defensa del integrador";"Defensas individuales";"";""
"33";"Intensificación y Fortalecimiento";"6";"Conceptual";"Cierre del cuatrimestre 2";"Devolución U4, síntesis y metac.";"";""
"34";"Intensificación y Fortalecimiento";"6";"Procedimental";"Intensif. y fortalec. U3-U4 (1/2)";"Pistas diferenciadas";"";""
"35";"Intensificación y Fortalecimiento";"6";"Procedimental";"Intensif. y fortalec. U3-U4 (2/2)";"Refuerzo y profundización";"";""
"36";"Intensificación y Fortalecimiento";"6";"Actitudinal";"Cierre integral anual";"Balance y proyección";"";""
