"Nº Clase";"Eje Temático";"Nº Eje";"Carácter/Objetivo";"Tema del Día";"Actividades";"Fecha";"Material"
"1";"Presentación y diagnóstico";"6";"Actitudinal";"Encuadre y diagnóstico";"Contrato, seguridad, higiene,";"";""
"1";"Presentación y diagnóstico";"6";"Actitudinal";"";"EPP y diagnóstico de saberes";"";""
"2";"Intensificación y Fortalecimiento";"6";"Procedimental";"Nivelación: terminal";"Manejo de archivos, carpetas";"";""
"2";"Intensificación y Fortalecimiento";"6";"Procedimental";"";"y comandos de terminal";"";""
"3";"Intensificación y Fortalecimiento";"6";"Procedimental";"Nivelación: web y JSON";"URL, petición y respuesta";"";""
"3";"Intensificación y Fortalecimiento";"6";"Procedimental";"";"HTTP informal, lectura JSON";"";""
"4";"I";"1";"Conceptual";"Introducción a .NET y C#";"Explicar .NET y C# básico";"";""
"4";"I";"1";"Conceptual";"";"Crear primer proyecto dotnet";"";""
"5";"I";"1";"Procedimental";"Estructuras de control y métodos";"Repaso escritura de código C#";"";""
"5";"I";"1";"Procedimental";"";"Ejercicios con métodos";"";""
"6";"M";"2";"Procedimental";"Minimal API y endpoint GET";"Crear web API con dotnet new web";"";""
"6";"M";"2";"Procedimental";"";"Probar endpoint GET en navegador";"";""
"7";"M";"2";"Procedimental";"Parámetros y rutas en GET";"Agregar parámetros a rutas GET";"";""
"7";"M";"2";"Procedimental";"";"Filtrar datos con query string";"";""
"8";"M";"2";"Actitudinal";"Cierre U1: repaso y TP";"Repasar conceptos de U1";"";""
"8";"M";"2";"Actitudinal";"";"Entregar TP-U1 en GitHub";"";""
"9";"Fundamentos de Minimal API";"1";"Procedimental";"Evaluación de la Unidad 1";"Entrega por GitHub y defensa";"";""
"9";"Fundamentos de Minimal API";"1";"Procedimental";"";"individual, prueba A/B";"";""
"10";"S";"3";"Conceptual";"SQLite y SELECT básico";"Conectar SQLite desde C#";"";""
"10";"S";"3";"Conceptual";"";"Ejecutar SELECT simple";"";""
"11";"S";"3";"Procedimental";"SQL: JOIN y ORDER BY";"Consultas JOIN entre 2 tablas";"";""
"11";"S";"3";"Procedimental";"";"Ordenar resultados con ORDER BY";"";""
"12";"D";"4";"Procedimental";"Dapper: Query<T> con alias";"Instalar Dapper, mapear columnas";"";""
"12";"D";"4";"Procedimental";"";"Query<T> con registros canónicos";"";""
"13";"D";"4";"Procedimental";"Parámetros y LIKE en Dapper";"Filtrar por alergias con LIKE";"";""
"13";"D";"4";"Procedimental";"";"Parametrizar valores con new {}";"";""
"14";"D";"4";"Actitudinal";"Cierre U2: repaso y TP";"Repasar U1-U2 con Dapper";"";""
"14";"D";"4";"Actitudinal";"";"Entregar TP-U2 en GitHub";"";""
"15";"Acceso a datos con Dapper";"2";"Procedimental";"Evaluación de la Unidad 2";"Entrega por GitHub y defensa";"";""
"15";"Acceso a datos con Dapper";"2";"Procedimental";"";"individual, prueba A/B";"";""
"16";"Intensificación y Fortalecimiento";"6";"Conceptual";"Cierre del cuatrimestre 1";"Devolución U2 y síntesis";"";""
"16";"Intensificación y Fortalecimiento";"6";"Conceptual";"";"Metacognición del cuatrimestre";"";""
"17";"Intensificación y Fortalecimiento";"6";"Procedimental";"Intensif. y fortalec. U1-U2 (1/2)";"Pistas diferenciadas por";"";""
"17";"Intensificación y Fortalecimiento";"6";"Procedimental";"";"condición; núcleos U1-U2";"";""
"18";"Intensificación y Fortalecimiento";"6";"Procedimental";"Intensif. y fortalec. U1-U2 (2/2)";"Refuerzo y profundización";"";""
"18";"Intensificación y Fortalecimiento";"6";"Procedimental";"";"con evaluación del momento";"";""
"19";"Intensificación y Fortalecimiento";"6";"Procedimental";"Proyecto puente (1/2)";"Consigna única, planificación";"";""
"19";"Intensificación y Fortalecimiento";"6";"Procedimental";"";"grupal y primer desarrollo";"";""
"20";"Intensificación y Fortalecimiento";"6";"Procedimental";"Proyecto puente (2/2)";"Finalización y puesta en";"";""
"20";"Intensificación y Fortalecimiento";"6";"Procedimental";"";"común, rúbrica de 100 puntos";"";""
"21";"C";"5";"Procedimental";"INSERT con Dapper y POST";"Crear endpoint POST con Dapper";"";""
"21";"C";"5";"Procedimental";"";"ExecuteScalar para nuevo ID";"";""
"22";"C";"5";"Procedimental";"DELETE con Dapper y MapDelete";"Endpoint DELETE con Dapper";"";""
"22";"C";"5";"Procedimental";"";"Devolver 204 en borrado";"";""
"23";"C";"5";"Procedimental";"UPDATE con Dapper y MapPut";"Endpoint PUT para actualizar";"";""
"23";"C";"5";"Procedimental";"";"QueryFirstOrDefault existente";"";""
"24";"C";"5";"Procedimental";"CRUD completo y JOIN triple";"JOIN 3 admissions+doctors";"";""
"24";"C";"5";"Procedimental";"";"QueryFirstOrDefault con parámetro";"";""
"25";"C";"5";"Actitudinal";"Cierre U3: repaso y TP";"Repasar JOINs y CRUD completo";"";""
"25";"C";"5";"Actitudinal";"";"Entregar TP-U3 en GitHub";"";""
"26";"Integración y publicación";"3";"Procedimental";"Evaluación de la Unidad 3";"Entrega por GitHub y defensa";"";""
"26";"Integración y publicación";"3";"Procedimental";"";"individual, prueba A/B";"";""
"27";"P";"6";"Procedimental";"Git profesional: ramas y PR";"Crear issues en repo grupal";"";""
"27";"P";"6";"Procedimental";"";"Abrir ramas por feature";"";""
"28";"P";"6";"Procedimental";"README de portada y más";"Redactar README de portada";"";""
"28";"P";"6";"Procedimental";"";"Proteger main con reglas";"";""
"29";"P";"6";"Procedimental";"Consolidación CRUD con JOINs";"Consolidar operaciones CRUD";"";""
"29";"P";"6";"Procedimental";"";"Diseñar endpoint de conteo";"";""
"30";"P";"6";"Procedimental";"Avance trabajo final";"Implementar funcionalidades finales";"";""
"30";"P";"6";"Procedimental";"";"Preparar defensa individual";"";""
"31";"P";"6";"Actitudinal";"Cierre U4: entrega final";"Repasar ejes 1-6 integrados";"";""
"31";"P";"6";"Actitudinal";"";"Entregar trabajo final en GitHub";"";""
"32";"Trabajo integrador profesional";"4";"Actitudinal";"Defensa del integrador";"Defensas individuales del";"";""
"32";"Trabajo integrador profesional";"4";"Actitudinal";"";"trabajo integrador";"";""
"33";"Intensificación y Fortalecimiento";"6";"Conceptual";"Cierre del cuatrimestre 2";"Devolución U4 y síntesis";"";""
