"Unidad temática";"Tiempo";"Contenidos";"Expectativas de logro";"Actividades";"TP obligatorio";"Técnicas/Capacidades";"Recursos";"Metodología de evaluación"
"Presentación y diagnóstico";"1";"Presentación de la asignatura y de su organización anual; contrato pedagógico y acuerdos de convivencia ; seguridad e higiene y elementos de protección personal (EPP) ,; diagnóstico de saberes previos en computación, terminal, web y programación.";"1) Reconocer la organización anual de la asignatura, sus unidades, trabajos prácticos obligatorios e instancias de evaluación. 2) Asumir el contrato pedagógico y las normas de seguridad e higiene del aula-taller, incluido el uso de elementos de protección personal. 3) Explicitar los saberes previos como insumo del diagnóstico inicial del grupo.";"encuadre de la asignatura y contrato pedagógico (30 min); recorrido por seguridad e higiene y EPP del aula-taller (25 min); relevamiento diagnóstico escrito y oral de saberes previos (45 min); cierre con acuerdos y conformación inicial de los grupos de trabajo (20 min). Quienes finalicen antes cada bloque amplían el diagnóstico con un cuestionario de intereses y experiencias tecnológicas. No permitido.";"—";"Comunicación oral, metacognición inicial, trabajo colaborativo.";"Aula-taller, PCs, proyector, fichas de diagnóstico, cartelera de acuerdos.";"Evaluación diagnóstica sin calificación; registro cualitativo de saberes previos; observación directa del cumplimiento de las normas de seguridad e higiene; retroalimentación inmediata."
"Intensificación y fortalecimiento de saberes previos";"2";"Manejo de la PC, archivos y carpetas; terminal: navegación de directorios y comandos básicos; la web: URL, navegador y plataforma web de entregas del curso; intensificación de los saberes no alcanzados y fortalecimiento para quienes los poseen, según el diagnóstico inicial.";"1) Operar la terminal para navegar carpetas, crear archivos y ejecutar comandos. 2) Reconocer los componentes de una URL y operar el navegador para acceder a la plataforma de entregas del curso. 3) Operar la cuenta propia en la plataforma web de entregas del curso. 4) Expresar problemas sencillos como secuencias ordenadas de pasos.";"Dos encuentros con la secuencia teórica fija de clase: apertura y puente (10 min), teoría mínima (20 min), práctica guiada (35 min), ejercicio independiente (25 min), extensión y consolidación (20 min) y cierre (10 min). (2): computadora, archivos, carpetas y terminal. (3): URL, navegador y plataforma web de entregas del curso. Pistas diferenciadas: refuerzo dirigido para la recuperación y desafíos de profundización para quienes avanzan. El trabajo en pares o grupos se rearma en cada encuentro por rotación de integrantes según los presentes y los equipos disponibles. No permitido.";"—";"Pensamiento computacional, resolución de problemas, uso de TIC.";"Aula-taller, PC por grupo, terminal, navegador, proyector, guías de ejercicios graduadas.";"Evaluación formativa de proceso con seguimiento por estudiante; verificación de los ejercicios de terminal y de la plataforma de entregas; retroalimentación inmediata y ajuste graduado de consignas; sin calificación sumativa."
"Fundamentos de Python y control del flujo";"5";"Primer programa en Python; ejecución desde VS Code y terminal; variables, asignación y tipos básicos int, float, str y bool; operadores aritméticos (+, -, *, /, //, %, **); comentarios como documentación del código.; Entrada y salida por consola: input() y print(); conversión de tipos con int(), float() y str(); primeras f-strings para armar mensajes.; Operadores de comparación y lógicos (and, or, not); estructura if/elif/else; combinación de condiciones para decidir el flujo del programa.; Bucles: for sobre rangos (range) y sobre strings; while con condición de corte; contadores y acumuladores.; Sistematización y consolidación de la Unidad 1; cierre del TP-U1; ciclo completo de entrega con Git y GitHub (gitignore, init, commits, repo remoto, remote add, push) que se enseña una sola vez y queda como rutina del curso.. Terminal, VS Code, ejecución de scripts; rutina de entregas con Git y GitHub desde el encuentro 8.; Primer contacto con el lenguaje; todo se resuelve en memoria, sin archivos ni bases de datos..";"Escribir programas sencillos en Python que lean datos del usuario, decidan con condicionales y repitan con bucles.";"Puente desde la programación ya conocida: qué se conserva y qué cambia al programar en Python. Encuentros 4 a 7 con la secuencia teórica fija de clase: apertura y puente (10 min), teoría mínima (20 min), práctica guiada (35 min), ejercicio independiente (25 min), extensión y consolidación (20 min) y cierre (10 min): encuentro 4, primer programa con ejecución en VS Code y terminal, variables, tipos básicos y operadores aritméticos documentados con comentarios; encuentro 5, lectura de datos del usuario con input(), conversión de tipos y salida con print() y f-strings; encuentro 6, resolución de problemas con condicionales if/elif/else y operadores de comparación y lógicos; encuentro 7, repetición con for sobre range y strings y con while, usando contadores y acumuladores. Encuentro 8, cierre de unidad: sistematización y consolidación de la Unidad 1, cierre del trabajo del tp-u1 y enseñanza por única vez del ciclo completo de entrega con Git y GitHub (gitignore, init, commits, repo remoto, remote add y push). Rotación de integrantes en el trabajo grupal según los presentes y los equipos disponibles, sin dejar equipos sin usar. Desafíos de extensión con formatos de salida y bucles anidados simples, sin adelantar colecciones. No permitido.";"TP-U1: programa de consola con entrada y control de flujo";"Resolución de problemas, pensamiento computacional, trabajo colaborativo, uso de TIC.";"Aula-taller, PC por grupo, VS Code, terminal, navegador, GitHub, proyector.";"Evaluación formativa de proceso con revisión del historial de commits del grupo y revisiones parciales en clase; evaluación sumativa del TP-U1: programa de consola con entrada y control de flujo en el encuentro 9 mediante entrega por GitHub y defensa individual; devolución al inicio del encuentro 10."
"Evaluación de la Unidad 1";"1";"Instancia dedicada de evaluación de la Unidad 1: verificación de la entrega del TP-U1: programa de consola con entrada y control de flujo por GitHub; defensa individual del programa propio; prueba práctica individual en versiones A y B equivalentes (mismos objetivos y requisitos, distinto dominio o datos).";"1) Completar la entrega del TP-U1: programa de consola con entrada y control de flujo en el repositorio del grupo con commits y push. 2) Explicar y justificar oralmente el funcionamiento del propio código. 3) Resolver una consigna práctica individual sobre los núcleos de la Unidad 1.";"Encuentro con la secuencia de evaluación de unidad: entrega y verificación del TP-U1: programa de consola con entrada y control de flujo por GitHub (15 min); defensas individuales con registro (45 min); prueba práctica individual en versiones A y B (45 min); cierre con acuerdos (15 min). No permitido.";"TP-U1: programa de consola con entrada y control de flujo (instancia de evaluación de la Unidad 1)";"Comunicación técnica, resolución de problemas, uso de TIC.";"Aula-taller, PC por grupo, VS Code, terminal, navegador, GitHub, proyector.";"Evaluación sumativa mediante verificación de la entrega por GitHub, defensa individual y prueba práctica A/B; registro de resultados; devolución al inicio del encuentro 10."
"Estructuras de datos y funciones";"5";"Listas: creación, acceso por índice y métodos append, pop, index y sort; mutabilidad frente a str y tuple; slicing [i:j] sobre listas y strings.; Tuplas como secuencias inmutables; conjuntos (set): unicidad de elementos y operaciones básicas; criterios de elección entre list, tuple y set según el problema.; Diccionarios: pares clave-valor; acceso y modificación; keys(), values() e items(); altas, bajas y recorridos; KeyError y su prevención.; Funciones: def, parámetros y return; ámbito local (lo necesario); bloque de ejecución principal if __name__ == ""__main__"" como organización estándar del archivo.; Sistematización y consolidación de la Unidad 2; cierre del TP-U2 con colecciones y funciones; entrega con carpeta nueva, commits y push.. Rutina de entregas con Git y GitHub (carpeta nueva, commits, push); terminal y VS Code.; La mutabilidad es el concepto central; el TP-U2 integra colecciones y funciones..";"Organizar datos con listas, tuplas, conjuntos y diccionarios, y descomponer programas en funciones.";"De las variables sueltas a las colecciones: recuperar tipos y control del flujo de la Unidad 1. Encuentros 10 a 13 con la secuencia teórica fija (apertura y puente 10 min, teoría mínima 20 min, práctica guiada 35 min, ejercicio independiente 25 min, extensión y consolidación 20 min, cierre 10 min): encuentro 10, trabajo con listas y sus métodos, contraste de mutabilidad con los tipos inmutables y slicing sobre secuencias; encuentro 11, uso de tuplas y conjuntos con criterio de elección de la estructura según el problema; encuentro 12, modelado de datos con diccionarios, con altas, bajas y recorridos por keys, values e items; encuentro 13, descomposición de programas en funciones con def, parámetros y return, y organización del archivo con bloque de ejecución principal. Encuentro 14, cierre de unidad: sistematización y consolidación de la Unidad 2 y cierre del trabajo del tp-u2 con carpeta nueva, commits y push. Rotación de integrantes en el trabajo grupal según presentes y equipos disponibles. Combinar colecciones (listas de diccionarios) en ejercicios de extensión. No permitido.";"TP-U2: programa con colecciones y funciones";"Resolución de problemas, pensamiento computacional, trabajo colaborativo, uso de TIC.";"Aula-taller, PC por grupo, VS Code, terminal, navegador, GitHub, proyector.";"Evaluación formativa de proceso con revisiones parciales de los ejercicios de la materia y seguimiento del repositorio (carpeta nueva, commits, push); evaluación sumativa del TP-U2: programa con colecciones y funciones en el encuentro 15 mediante entrega por GitHub y defensa individual; devolución al inicio del encuentro 16."
"Evaluación de la Unidad 2";"1";"Instancia dedicada de evaluación de la Unidad 2: verificación de la entrega del TP-U2: programa con colecciones y funciones por GitHub; defensa individual sobre el trabajo práctico; prueba práctica individual en versiones A y B equivalentes.";"1) Completar la entrega del TP-U2: programa con colecciones y funciones con commits y push. 2) Explicar las decisiones de diseño del propio programa y su estructura. 3) Resolver una consigna práctica individual sobre los núcleos de la Unidad 2.";"Encuentro con la secuencia de evaluación de unidad: entrega y verificación del TP-U2: programa con colecciones y funciones por GitHub (15 min); defensas individuales con registro (45 min); prueba práctica individual en versiones A y B (45 min); cierre con acuerdos (15 min). No permitido.";"TP-U2: programa con colecciones y funciones (instancia de evaluación de la Unidad 2)";"Comunicación técnica, resolución de problemas, uso de TIC.";"Aula-taller, PC por grupo, VS Code, terminal, navegador, GitHub, proyector.";"Evaluación sumativa mediante verificación de la entrega por GitHub, defensa individual y prueba práctica A/B; registro de resultados; devolución al inicio del encuentro 16."
"Cierre integrador del cuatrimestre 1";"1";"Síntesis e integración de los núcleos de las Unidades 1 y 2 a partir del repositorio del grupo como evidencia del proceso; metacognición sobre el proceso de aprendizaje del cuatrimestre; devolución de la evaluación de la Unidad 2, que abre el encuentro. Instancia de síntesis, sin contenidos nuevos y sin evaluación propia.";"1) Reconstruir y explicar los núcleos de las Unidades 1 y 2 a partir del repositorio del grupo como evidencia del proceso. 2) Identificar fortalezas, dificultades y pendientes individuales y grupales mediante la metacognición.";"apertura y devolución de la evaluación de la Unidad 2 (30 min); síntesis e integración de los núcleos de las Unidades 1 y 2 a partir del repositorio del grupo (40 min); plenaria de metacognición del cuatrimestre (35 min); cierre (15 min). No permitido.";"—";"Resolución de problemas, metacognición, uso de TIC.";"Aula-taller, PC por grupo, VS Code, terminal, navegador, GitHub, proyector.";"Sin evaluación propia; devolución de la evaluación de la Unidad 2; autoevaluación y coevaluación en la instancia de metacognición; registro de proceso."
"Intensificación y fortalecimiento de las Unidades 1 y 2 — primera instancia";"2";"Intensificación de los objetivos mínimos no alcanzados y fortalecimiento de los aprendizajes logrados; núcleos de las Unidades 1 y 2 declarados en la planificación anual de la materia; pistas diferenciadas según la condición de cada estudiante; evaluación del momento en versiones A y B. Sin contenidos nuevos.";"1) Consolidar los núcleos no alcanzados de las Unidades 1 y 2. 2) Ampliar los aprendizajes logrados mediante desafíos de profundización sobre los mismos núcleos. 3) Acreditar los contenidos pendientes con resultado aún provisorio de Apto o No apto.";"Dos encuentros con la estructura del momento de intensificación y fortalecimiento: plenaria de apertura (10 min), bloque 1 (45 min), bloque 2 (45 min) y plenaria de cierre (20 min). Pistas diferenciadas: quienes recuperan trabajan guías de refuerzo sobre los núcleos pendientes; quienes profundizan resuelven desafíos de extensión. El segundo encuentro continúa con la misma estructura y cierra con la evaluación del momento. Rotación de integrantes en el trabajo según presentes y equipos disponibles. No permitido.";"— (evaluación del momento en versiones A y B)";"Resolución de problemas, trabajo colaborativo, metacognición, uso de TIC.";"Aula-taller, PC por grupo, VS Code, terminal, navegador, GitHub, proyector.";"Evaluación del momento en versiones A y B con verificación por criterios; resultado aún provisorio de Apto o No apto; seguimiento de proceso con acompañamiento docente."
"Instancia integradora de las Unidades 1 y 2";"2";"Proyecto puente que integra los núcleos de las Unidades 1 y 2 declarados en la planificación anual de la materia; consigna única para todo el curso desarrollada en dos encuentros; cierre con rúbrica de 100 puntos. Sin contenidos nuevos.";"1) Integrar los núcleos de las Unidades 1 y 2 en un producto coherente y funcional. 2) Gestionar el desarrollo del proyecto en el repositorio del grupo con commits y push. 3) Comunicar las decisiones técnicas del proyecto y autoevaluar el propio desempeño.";"Dos encuentros con la estructura del momento de intensificación y fortalecimiento: plenaria de apertura (10 min), bloque 1 (45 min), bloque 2 (45 min) y plenaria de cierre (20 min). (19): presentación de la consigna única del proyecto puente, planificación grupal y desarrollo de la primera parte con avance registrado en el repositorio. (20): finalización del proyecto, puesta en común y cierre con aplicación de la rúbrica de 100 puntos. Rotación de integrantes en el trabajo grupal según presentes y equipos disponibles. Quienes completan los requisitos base avanzan con actividades de extensión. No permitido.";"— (proyecto puente con rúbrica de 100 puntos)";"Trabajo colaborativo, resolución de problemas, comunicación técnica, uso de TIC.";"Aula-taller, PC por grupo, VS Code, terminal, navegador, GitHub, proyector.";"Evaluación sumativa con rúbrica de 100 puntos sobre el proyecto puente; seguimiento del proceso por grupo con revisión del repositorio; retroalimentación en la plenaria de cierre."
"Procesamiento de texto y validación";"5";"Métodos de cadenas para procesar la entrada del usuario: split, strip, join y replace; f-strings con formato numérico; el texto como dato procesable.; Excepciones: try/except para validar la entrada (ValueError del int()); patrón de reintento con while; mensajes de error claros para el usuario.; Módulos: import de built-ins (random, math) como mención puntual; integración de funciones, colecciones, texto y validación en un menú de consola en memoria.; Diseño de un programa completo en un solo archivo .py: funciones, colecciones, menú textual en memoria y validación de entrada; avance del TP-U3.; Sistematización y consolidación de la Unidad 3; cierre del TP-U3 con menú validado en memoria; entrega con carpeta nueva, commits y push.. Git y GitHub en cada entrega; funciones y colecciones como base de la integración.; Unidad de integración: un solo archivo, sin persistencia de ningún tipo..";"Procesar texto de entrada con métodos de cadenas y validar datos con excepciones para construir programas robustos.";"Recuperar funciones y colecciones y llevarlas a programas que no se rompen ante una entrada incorrecta. Encuentros 21 a 24 con la secuencia teórica fija (apertura y puente 10 min, teoría mínima 20 min, práctica guiada 35 min, ejercicio independiente 25 min, extensión y consolidación 20 min, cierre 10 min): encuentro 21, procesamiento de la entrada del usuario con métodos de cadenas y f-strings con formato; encuentro 22, validación de la entrada del usuario con try/except y patrón de reintento con while; encuentro 23, uso puntual de import de módulos built-in e integración de los núcleos del curso en un menú de consola en memoria; encuentro 24, diseño e integración de un programa completo en un solo archivo con avance del tp-u3. Encuentro 25, cierre de unidad: sistematización y consolidación de la Unidad 3 y cierre del trabajo del tp-u3 con carpeta nueva, commits y push. Rotación de integrantes en el trabajo grupal según presentes y equipos disponibles. Menús con opciones compuestas y validación de rangos, siempre en memoria. No permitido.";"TP-U3: menú de consola validado";"Resolución de problemas, pensamiento computacional, trabajo colaborativo, uso de TIC.";"Aula-taller, PC por grupo, VS Code, terminal, navegador, GitHub, proyector.";"Evaluación formativa de proceso con revisiones parciales y seguimiento del repositorio; evaluación sumativa del TP-U3: menú de consola validado en el encuentro 26 mediante entrega por GitHub y defensa individual; devolución al inicio del encuentro 27."
