"Unidad temática";"Tiempo";"Contenidos";"Expectativas de logro";"Actividades";"TP obligatorio";"Técnicas/Capacidades";"Recursos";"Metodología de evaluación"
"Encuadre y diagnóstico de saberes previos";"1";"Presentación de la asignatura y de su organización anual; contrato pedagógico y acuerdos de convivencia y de trabajo; seguridad e higiene y elementos de protección personal (EPP) del aula-taller, por modalidad técnica de la institución; diagnóstico de saberes previos en computación, terminal, web y bases de datos.";"1) Reconocer la organización anual de la asignatura, sus unidades, trabajos prácticos obligatorios e instancias de evaluación. 2) Asumir el contrato pedagógico y las normas de seguridad e higiene del aula-taller, incluido el uso de elementos de protección personal. 3) Explicitar los saberes previos como insumo del diagnóstico inicial del grupo.";"Encuentro de 240 minutos: encuadre de la asignatura y contrato pedagógico (60 min); recorrido por seguridad e higiene y EPP del aula-taller (45 min); relevamiento diagnóstico escrito y oral de saberes previos (90 min); cierre con acuerdos y conformación inicial de los grupos de trabajo (45 min). Quienes finalicen antes cada bloque amplían el diagnóstico con un cuestionario de intereses y experiencias tecnológicas. Sin uso de celular.";"—";"Comunicación oral, metacognición inicial, trabajo colaborativo.";"Aula-taller, PCs, proyector, fichas de diagnóstico, cartelera de acuerdos.";"Evaluación diagnóstica sin calificación; registro cualitativo de saberes previos; observación directa del cumplimiento de las normas de seguridad e higiene; retroalimentación inmediata."
"Intensificación y fortalecimiento de saberes previos";"2";"Manejo de la computadora, archivos y carpetas; terminal: navegación de directorios y comandos básicos; la web: URL, cliente y servidor, ciclo de petición y respuesta, HTTP informal; formato JSON por primera vez (pares clave-valor, tipos, arreglos); intensificación de los saberes no alcanzados y fortalecimiento para quienes los poseen, según el diagnóstico inicial.";"1) Operar la terminal para navegar carpetas, crear archivos y ejecutar comandos. 2) Describir el ciclo de petición y respuesta entre cliente y servidor a partir de una URL. 3) Leer y construir documentos JSON simples. 4) Expresar problemas sencillos como secuencias ordenadas de pasos.";"Dos encuentros de 240 minutos con la secuencia teórica fija de clase: apertura y puente (20 min), teoría mínima (40 min), práctica guiada (70 min), ejercicio independiente (50 min), extensión y consolidación (45 min) y cierre (15 min). Encuentro 2: computadora, archivos, carpetas y terminal. Encuentro 3: URL, petición y respuesta, HTTP informal y primer contacto con JSON. Pistas diferenciadas: refuerzo dirigido para la recuperación y desafíos de profundización para quienes avanzan. El trabajo en pares o grupos se rearma en cada encuentro por rotación de integrantes según los presentes y los equipos disponibles. Sin uso de celular.";"—";"Pensamiento computacional, resolución de problemas, uso de TIC.";"Aula-taller, PC por grupo, terminal, navegador, proyector, guías de ejercicios graduadas.";"Evaluación formativa de proceso con seguimiento por estudiante; verificación de los ejercicios de terminal y de lectura de JSON; retroalimentación inmediata y ajuste graduado de consignas; sin calificación sumativa."
"Unidad didáctica 1: Fundamentos de Minimal API con C#";"5";"Creación del primer proyecto con dotnet new web y anatomía de Program.cs; ejecución con dotnet run y primer endpoint GET probado en el navegador; expresiones lambda elementales; rutas y parámetros de ruta; tipos devueltos y JSON automático; git local como herramienta de trabajo (init, .gitignore, add, commit y rutina de commit por clase); verbos HTTP y códigos de respuesta; CRUD completo en memoria sobre una lista estática; consolidación con una mini API integradora en memoria, errores comunes y correcciones; ciclo completo de entrega (repositorio remoto en GitHub, remote add, push) y desarrollo del tp-u1. Terminal, git y GitHub, y trabajo colaborativo como saberes transversales; API en memoria, sin base de datos.";"1) Crear, ejecutar y modificar un proyecto Minimal API desde la terminal y el editor. 2) Construir endpoints GET con rutas y parámetros que devuelvan JSON. 3) Implementar un CRUD completo en memoria con verbos HTTP y códigos de respuesta adecuados. 4) Sostener la rutina de git local y completar el primer ciclo de entrega por GitHub con el tp-u1.";"Cinco encuentros de 240 minutos. Encuentros 4 a 7 con la secuencia teórica fija de clase: apertura y puente (20 min), teoría mínima (40 min), práctica guiada (70 min), ejercicio independiente (50 min), extensión y consolidación (45 min) y cierre (15 min): encuentro 4, primer proyecto y primer endpoint GET; encuentro 5, rutas, parámetros, JSON automático e incorporación de git local con la rutina de commit por clase; encuentro 6, verbos HTTP, códigos de respuesta y CRUD en memoria; encuentro 7, consolidación con una mini API integradora y corrección de errores comunes. Encuentro 8, cierre de unidad: apertura (15 min), consolidación (75 min), trabajo del tp-u1 (90 min), ciclo completo de entrega con repositorio remoto en GitHub (45 min) y cierre (15 min). Rotación de integrantes en el trabajo grupal según los presentes y los equipos disponibles, sin dejar equipos sin usar. Quienes completan la consigna base avanzan con actividades de extensión y consolidación explícitas (endpoints adicionales, mejoras de validación, desafíos de rutas). Sin uso de celular.";"tp-u1";"Resolución de problemas, pensamiento computacional, trabajo colaborativo, uso de TIC.";"Aula-taller, PC por grupo, VS Code, terminal, navegador, GitHub, proyector.";"Evaluación formativa de proceso con revisión del historial de commits del grupo y revisiones parciales en clase; evaluación sumativa del tp-u1 en el encuentro 9 mediante entrega por GitHub y defensa individual; devolución al inicio del encuentro 10."
"Evaluación de la Unidad 1";"1";"Instancia dedicada de evaluación de la Unidad 1: verificación de la entrega del tp-u1 por GitHub; defensa individual de la mini API en memoria; prueba práctica individual en versiones A y B equivalentes (mismos objetivos y requisitos, distinto dominio o datos).";"1) Completar la entrega del tp-u1 en el repositorio del grupo con commits y push. 2) Explicar y justificar oralmente el funcionamiento del propio código. 3) Resolver una consigna práctica individual sobre los núcleos de la Unidad 1.";"Encuentro de 240 minutos con la secuencia de evaluación de unidad: entrega y verificación del tp-u1 por GitHub (30 min); defensas individuales con registro (90 min); prueba práctica individual en versiones A y B (90 min); cierre con acuerdos (30 min). Sin uso de celular.";"tp-u1 (instancia de evaluación de la Unidad 1)";"Comunicación técnica, resolución de problemas, uso de TIC.";"Aula-taller, PC por grupo, VS Code, terminal, navegador, GitHub, proyector.";"Evaluación sumativa mediante verificación de la entrega por GitHub, defensa individual y prueba práctica A/B; registro de resultados; devolución al inicio del encuentro 10."
"Unidad didáctica 2: Acceso a datos con SQLite y Dapper";"5";"Devolución de la evaluación de la Unidad 1; primera mirada a la base SQLite hospital.db; conexión desde la API y primer SELECT con Dapper mapeado a records (ids long, fechas string ISO); consultas parametrizadas con WHERE y ORDER BY; parámetros de ruta y query string sobre la base; filtros WHERE y LIKE, búsquedas; validación manual simple y códigos 400 y 404; JOIN de dos tablas (patients con province_names, admissions con doctors) y records compuestos; escritura con Dapper (INSERT, UPDATE y DELETE parametrizados, códigos 201, 400 y 404); consolidación, cierre de la unidad y entrega del tp-u2. Terminal, git y GitHub (carpeta nueva, commits y push) y trabajo colaborativo como saberes transversales.";"1) Conectar la API a hospital.db y ejecutar consultas SELECT con Dapper mapeadas a records. 2) Construir endpoints con WHERE, LIKE, ORDER BY, parámetros de ruta y query string, con validación manual y códigos de estado adecuados. 3) Resolver consultas con JOIN de dos tablas mediante records compuestos. 4) Implementar escritura parametrizada (INSERT, UPDATE, DELETE) y completar la entrega del tp-u2 por GitHub.";"Devolución de la Unidad 1 al inicio del encuentro 10. Encuentros 10 a 13, de 240 minutos cada uno, con la secuencia teórica fija (apertura y puente 20 min, teoría mínima 40 min, práctica guiada 70 min, ejercicio independiente 50 min, extensión y consolidación 45 min, cierre 15 min): encuentro 10, exploración de hospital.db, conexión y primer SELECT; encuentro 11, consultas parametrizadas y ordenamiento; encuentro 12, filtros, búsquedas, validación manual y códigos 400 y 404; encuentro 13, JOIN de dos tablas. Encuentro 14, cierre de unidad: apertura (15 min), consolidación (75 min), trabajo del tp-u2 (90 min), ciclo de entrega por GitHub (45 min) y cierre (15 min). Rotación de integrantes en el trabajo grupal según presentes y equipos disponibles. Quienes completan la consigna base avanzan con actividades de extensión y consolidación explícitas (consultas adicionales sobre la base real, mejoras de filtros, casos límite). Sin uso de celular.";"tp-u2";"Resolución de problemas, pensamiento computacional, trabajo colaborativo, uso de TIC.";"Aula-taller, PC por grupo, VS Code, terminal, hospital.db, navegador, GitHub, proyector.";"Evaluación formativa de proceso con revisiones parciales de consultas y endpoints y seguimiento del repositorio (carpeta nueva, commits, push); evaluación sumativa del tp-u2 en el encuentro 15 mediante entrega por GitHub y defensa individual; devolución al inicio del encuentro 16."
"Evaluación de la Unidad 2";"1";"Instancia dedicada de evaluación de la Unidad 2: verificación de la entrega del tp-u2 por GitHub; defensa individual sobre los endpoints con consultas a hospital.db; prueba práctica individual en versiones A y B equivalentes.";"1) Completar la entrega del tp-u2 con commits y push. 2) Explicar las consultas SQL con Dapper y las decisiones de diseño de los endpoints. 3) Resolver una consigna práctica individual sobre los núcleos de la Unidad 2.";"Encuentro de 240 minutos con la secuencia de evaluación de unidad: entrega y verificación del tp-u2 por GitHub (30 min); defensas individuales con registro (90 min); prueba práctica individual en versiones A y B (90 min); cierre con acuerdos (30 min). Sin uso de celular.";"tp-u2 (instancia de evaluación de la Unidad 2)";"Comunicación técnica, resolución de problemas, uso de TIC.";"Aula-taller, PC por grupo, VS Code, terminal, hospital.db, navegador, GitHub, proyector.";"Evaluación sumativa mediante verificación de la entrega por GitHub, defensa individual y prueba práctica A/B; registro de resultados; devolución al inicio del encuentro 16."
"Cierre integrador del cuatrimestre 1";"1";"Síntesis e integración de los núcleos de las Unidades 1 y 2 a partir del repositorio del grupo como evidencia del proceso; metacognición sobre el proceso de aprendizaje del cuatrimestre; devolución de la evaluación de la Unidad 2, que abre el encuentro. Instancia de síntesis, sin contenidos nuevos y sin evaluación propia.";"1) Reconstruir y explicar los núcleos de las Unidades 1 y 2 a partir del repositorio del grupo como evidencia del proceso. 2) Identificar fortalezas, dificultades y pendientes individuales y grupales mediante la metacognición.";"Encuentro de 240 minutos: apertura y devolución de la evaluación de la Unidad 2 (60 min); síntesis e integración de los núcleos de las Unidades 1 y 2 a partir del repositorio del grupo (75 min); plenaria de metacognición del cuatrimestre (75 min); cierre (30 min). Sin uso de celular.";"—";"Resolución de problemas, metacognición, uso de TIC.";"Aula-taller, PC por grupo, VS Code, terminal, hospital.db, navegador, GitHub, proyector.";"Sin evaluación propia; devolución de la evaluación de la Unidad 2; autoevaluación y coevaluación en la instancia de metacognición; registro de proceso."
"Intensificación y fortalecimiento de las Unidades 1 y 2 — primera instancia";"2";"Intensificación de los objetivos mínimos no alcanzados y fortalecimiento de los aprendizajes logrados; núcleos de las Unidades 1 y 2: endpoints, rutas y parámetros, CRUD en memoria, conexión y consultas con Dapper, filtros y JOIN de dos tablas; pistas diferenciadas según la condición de cada estudiante; evaluación del momento en versiones A y B. Sin contenidos nuevos.";"1) Consolidar los núcleos no alcanzados de las Unidades 1 y 2. 2) Ampliar los aprendizajes logrados mediante desafíos de profundización sobre los mismos núcleos. 3) Acreditar los contenidos pendientes con resultado aún provisorio de Apto o No apto.";"Dos encuentros de 240 minutos con la estructura del momento de intensificación y fortalecimiento: plenaria de apertura (20 min), bloque 1 (90 min), bloque 2 (90 min) y plenaria de cierre (40 min). Pistas diferenciadas: quienes recuperan trabajan guías de refuerzo sobre los núcleos pendientes; quienes profundizan resuelven desafíos de extensión. El segundo encuentro continúa con la misma estructura y cierra con la evaluación del momento. Rotación de integrantes en el trabajo según presentes y equipos disponibles. Sin uso de celular.";"— (evaluación del momento en versiones A y B)";"Resolución de problemas, trabajo colaborativo, metacognición, uso de TIC.";"Aula-taller, PC por grupo, VS Code, terminal, hospital.db, navegador, GitHub, proyector.";"Evaluación del momento en versiones A y B con verificación por criterios; resultado aún provisorio de Apto o No apto; seguimiento de proceso con acompañamiento docente."
"Instancia integradora de las Unidades 1 y 2";"2";"Proyecto puente que integra las Unidades 1 y 2: API con CRUD en memoria y consultas a hospital.db, rutas y parámetros, verbos HTTP, códigos de estado y consultas SQL con Dapper; consigna única para todo el curso desarrollada en dos encuentros; cierre con rúbrica de 100 puntos. Sin contenidos nuevos.";"1) Integrar los fundamentos de Minimal API con el acceso a datos en una API coherente y funcional. 2) Gestionar el desarrollo del proyecto en el repositorio del grupo con commits y push. 3) Comunicar las decisiones técnicas del proyecto y autoevaluar el propio desempeño.";"Dos encuentros de 240 minutos con la estructura del momento de intensificación y fortalecimiento: plenaria de apertura (20 min), bloque 1 (90 min), bloque 2 (90 min) y plenaria de cierre (40 min). Encuentro 19: presentación de la consigna única del proyecto puente, planificación grupal y desarrollo de la primera parte con avance registrado en el repositorio. Encuentro 20: finalización del proyecto, puesta en común y cierre con aplicación de la rúbrica de 100 puntos. Rotación de integrantes en el trabajo grupal según presentes y equipos disponibles. Quienes completan los requisitos base avanzan con actividades de extensión. Sin uso de celular.";"— (proyecto puente con rúbrica de 100 puntos)";"Trabajo colaborativo, resolución de problemas, comunicación técnica, uso de TIC.";"Aula-taller, PC por grupo, VS Code, terminal, hospital.db, navegador, GitHub, proyector.";"Evaluación sumativa con rúbrica de 100 puntos sobre el proyecto puente; seguimiento del proceso por grupo con revisión del repositorio; retroalimentación en la plenaria de cierre."
"Unidad didáctica 3: Integración de datos y publicación";"5";"Devolución de la evaluación de la Unidad 2; JOIN de tres tablas (admissions, patients y doctors) y endpoints compuestos; agregaciones COUNT, AVG y SUM con GROUP BY (por especialidad, por mes); subconsultas simples; datos sucios reales (valores NULL, errores de tipeo, fechas erróneas): robustez y manejo de errores; configuración de la cadena de conexión en appsettings.json; publicación con dotnet publish y ejecución en release; sprint integrador, cierre de la unidad y entrega del tp-u3. Terminal, git y GitHub y trabajo colaborativo como saberes transversales.";"1) Resolver consultas con JOIN de tres tablas y exponer endpoints compuestos sobre hospital.db. 2) Construir consultas de agregación con GROUP BY y subconsultas simples. 3) Detectar y tratar datos sucios con manejo de errores y respuestas adecuadas. 4) Configurar la cadena de conexión, publicar la API con dotnet publish y completar la entrega del tp-u3.";"Devolución de la Unidad 2 al inicio del encuentro 21. Encuentros 21 a 24, de 240 minutos cada uno, con la secuencia teórica fija (apertura y puente 20 min, teoría mínima 40 min, práctica guiada 70 min, ejercicio independiente 50 min, extensión y consolidación 45 min, cierre 15 min): encuentro 21, JOIN triple y endpoints compuestos; encuentro 22, agregaciones y GROUP BY; encuentro 23, subconsultas y datos sucios; encuentro 24, configuración y publicación. Encuentro 25, cierre de unidad: apertura (15 min), sprint integrador y consolidación (75 min), trabajo del tp-u3 (90 min), ciclo de entrega por GitHub (45 min) y cierre (15 min). Rotación de integrantes en el trabajo grupal según presentes y equipos disponibles. Quienes completan la consigna base avanzan con actividades de extensión y consolidación explícitas (reportes adicionales, casos de datos sucios, pruebas de publicación). Sin uso de celular.";"tp-u3";"Resolución de problemas, pensamiento computacional, trabajo colaborativo, uso de TIC.";"Aula-taller, PC por grupo, VS Code, terminal, hospital.db, navegador, GitHub, proyector.";"Evaluación formativa de proceso con revisiones parciales y seguimiento del repositorio; evaluación sumativa del tp-u3 en el encuentro 26 mediante entrega por GitHub y defensa individual; devolución al inicio del encuentro 27."
