"Unidad temática";"Tiempo";"Contenidos";"Expectativas de logro";"Actividades";"TP obligatorio";"Técnicas/Capacidades";"Recursos";"Metodología de evaluación"
"Presentación y diagnóstico";"1";"Presentación de la asignatura y de su organización anual; contrato pedagógico y acuerdos de convivencia ; seguridad e higiene y elementos de protección personal (EPP) ,; diagnóstico de saberes previos en computación, terminal, web y bases de datos.";"1) Reconocer la organización anual de la asignatura, sus unidades, trabajos prácticos obligatorios e instancias de evaluación. 2) Asumir el contrato pedagógico y las normas de seguridad e higiene del aula-taller, incluido el uso de elementos de protección personal. 3) Explicitar los saberes previos como insumo del diagnóstico inicial del grupo.";"encuadre de la asignatura y contrato pedagógico (60 min); recorrido por seguridad e higiene y EPP del aula-taller (45 min); relevamiento diagnóstico escrito y oral de saberes previos (90 min); cierre con acuerdos y conformación inicial de los grupos de trabajo (45 min). Quienes finalicen antes cada bloque amplían el diagnóstico con un cuestionario de intereses y experiencias tecnológicas. No permitido.";"—";"Comunicación oral, metacognición inicial, trabajo colaborativo.";"Aula-taller, PCs, proyector, fichas de diagnóstico, cartelera de acuerdos.";"Evaluación diagnóstica sin calificación; registro cualitativo de saberes previos; observación directa del cumplimiento de las normas de seguridad e higiene; retroalimentación inmediata."
"Intensificación y fortalecimiento de saberes previos";"2";"Manejo de la PC, archivos y carpetas; terminal: navegación de directorios y comandos básicos; la web: URL, cliente y servidor, ciclo de petición y respuesta, HTTP informal; formato JSON por primera vez (pares clave-valor, tipos, arreglos); intensificación de los saberes no alcanzados y fortalecimiento para quienes los poseen, según el diagnóstico inicial.";"1) Operar la terminal para navegar carpetas, crear archivos y ejecutar comandos. 2) Describir el ciclo de petición y respuesta entre cliente y servidor a partir de una URL. 3) Leer y construir documentos JSON simples. 4) Expresar problemas sencillos como secuencias ordenadas de pasos.";"Dos encuentros con la secuencia teórica fija de clase: apertura y puente (20 min), teoría mínima (40 min), práctica guiada (70 min), ejercicio independiente (50 min), extensión y consolidación (45 min) y cierre (15 min). (2): computadora, archivos, carpetas y terminal. (3): URL, petición y respuesta, HTTP informal y primer contacto con JSON. Pistas diferenciadas: refuerzo dirigido para la recuperación y desafíos de profundización para quienes avanzan. El trabajo en pares o grupos se rearma en cada encuentro por rotación de integrantes según los presentes y los equipos disponibles. No permitido.";"—";"Pensamiento computacional, resolución de problemas, uso de TIC.";"Aula-taller, PC por grupo, terminal, navegador, proyector, guías de ejercicios graduadas.";"Evaluación formativa de proceso con seguimiento por estudiante; verificación de los ejercicios de terminal y de lectura de JSON; retroalimentación inmediata y ajuste graduado de consignas; sin calificación sumativa."
"Fundamentos de C# y Minimal API";"5";"; ; ; ; . Git inicial, terminal de comandos, estructura Program.cs.; Primer contacto con C# y Minimal API. Sin base de datos aún..";"Comprender la estructura de .NET y crear endpoints GET básicos.";"Diagnóstico de saberes previos sobre lógica y algoritmos. Encuentros 4 a 7 con la secuencia teórica fija de clase: apertura y puente (20 min), teoría mínima (40 min), práctica guiada (70 min), ejercicio independiente (50 min), extensión y consolidación (45 min) y cierre (15 min): encuentro 4, ; encuentro 5, ; encuentro 6, ; encuentro 7, . Encuentro 8, cierre de unidad: . Rotación de integrantes en el trabajo grupal según los presentes y los equipos disponibles, sin dejar equipos sin usar. Explorar más verbos HTTP y tipos de respuesta sin base de datos. No permitido.";"TP-U1: Minimal API GET";"Resolución de problemas, pensamiento computacional, trabajo colaborativo, uso de TIC.";"Aula-taller, PC por grupo, VS Code, terminal, navegador, GitHub, proyector.";"Evaluación formativa de proceso con revisión del historial de commits del grupo y revisiones parciales en clase; evaluación sumativa del TP-U1: Minimal API GET en el encuentro 9 mediante entrega por GitHub y defensa individual; devolución al inicio del encuentro 10."
"Evaluación de la Unidad 1";"1";"Instancia dedicada de evaluación de la Unidad 1: verificación de la entrega del TP-U1: Minimal API GET por GitHub; defensa individual de la mini API en memoria; prueba práctica individual en versiones A y B equivalentes (mismos objetivos y requisitos, distinto dominio o datos).";"1) Completar la entrega del TP-U1: Minimal API GET en el repositorio del grupo con commits y push. 2) Explicar y justificar oralmente el funcionamiento del propio código. 3) Resolver una consigna práctica individual sobre los núcleos de la Unidad 1.";"Encuentro con la secuencia de evaluación de unidad: entrega y verificación del TP-U1: Minimal API GET por GitHub (30 min); defensas individuales con registro (90 min); prueba práctica individual en versiones A y B (90 min); cierre con acuerdos (30 min). No permitido.";"TP-U1: Minimal API GET (instancia de evaluación de la Unidad 1)";"Comunicación técnica, resolución de problemas, uso de TIC.";"Aula-taller, PC por grupo, VS Code, terminal, navegador, GitHub, proyector.";"Evaluación sumativa mediante verificación de la entrega por GitHub, defensa individual y prueba práctica A/B; registro de resultados; devolución al inicio del encuentro 10."
"Acceso a datos con SQLite y Dapper";"5";"; ; ; ; . Git para entregas, terminal, SQL básico.; Introducción a Dapper. JOIN entre 2 tablas..";"Consultar una base SQLite desde C# usando Dapper con consultas parametrizadas.";"Recuperar conceptos de endpoints GET y conectar con base de datos. Encuentros 10 a 13 con la secuencia teórica fija (apertura y puente 20 min, teoría mínima 40 min, práctica guiada 70 min, ejercicio independiente 50 min, extensión y consolidación 45 min, cierre 15 min): encuentro 10, ; encuentro 11, ; encuentro 12, ; encuentro 13, . Encuentro 14, cierre de unidad: . Rotación de integrantes en el trabajo grupal según presentes y equipos disponibles. Explorar más funciones SQL de agregación en Dapper. No permitido.";"TP-U2: SQLite y Dapper básico";"Resolución de problemas, pensamiento computacional, trabajo colaborativo, uso de TIC.";"Aula-taller, PC por grupo, VS Code, terminal, navegador, GitHub, proyector.";"Evaluación formativa de proceso con revisiones parciales de los ejercicios de la materia y seguimiento del repositorio (carpeta nueva, commits, push); evaluación sumativa del TP-U2: SQLite y Dapper básico en el encuentro 15 mediante entrega por GitHub y defensa individual; devolución al inicio del encuentro 16."
"Evaluación de la Unidad 2";"1";"Instancia dedicada de evaluación de la Unidad 2: verificación de la entrega del TP-U2: SQLite y Dapper básico por GitHub; defensa individual sobre el trabajo práctico; prueba práctica individual en versiones A y B equivalentes.";"1) Completar la entrega del TP-U2: SQLite y Dapper básico con commits y push. 2) Explicar las consultas SQL con Dapper y las decisiones de diseño de los endpoints. 3) Resolver una consigna práctica individual sobre los núcleos de la Unidad 2.";"Encuentro con la secuencia de evaluación de unidad: entrega y verificación del TP-U2: SQLite y Dapper básico por GitHub (30 min); defensas individuales con registro (90 min); prueba práctica individual en versiones A y B (90 min); cierre con acuerdos (30 min). No permitido.";"TP-U2: SQLite y Dapper básico (instancia de evaluación de la Unidad 2)";"Comunicación técnica, resolución de problemas, uso de TIC.";"Aula-taller, PC por grupo, VS Code, terminal, navegador, GitHub, proyector.";"Evaluación sumativa mediante verificación de la entrega por GitHub, defensa individual y prueba práctica A/B; registro de resultados; devolución al inicio del encuentro 16."
"Cierre integrador del cuatrimestre 1";"1";"Síntesis e integración de los núcleos de las Unidades 1 y 2 a partir del repositorio del grupo como evidencia del proceso; metacognición sobre el proceso de aprendizaje del cuatrimestre; devolución de la evaluación de la Unidad 2, que abre el encuentro. Instancia de síntesis, sin contenidos nuevos y sin evaluación propia.";"1) Reconstruir y explicar los núcleos de las Unidades 1 y 2 a partir del repositorio del grupo como evidencia del proceso. 2) Identificar fortalezas, dificultades y pendientes individuales y grupales mediante la metacognición.";"apertura y devolución de la evaluación de la Unidad 2 (60 min); síntesis e integración de los núcleos de las Unidades 1 y 2 a partir del repositorio del grupo (75 min); plenaria de metacognición del cuatrimestre (75 min); cierre (30 min). No permitido.";"—";"Resolución de problemas, metacognición, uso de TIC.";"Aula-taller, PC por grupo, VS Code, terminal, navegador, GitHub, proyector.";"Sin evaluación propia; devolución de la evaluación de la Unidad 2; autoevaluación y coevaluación en la instancia de metacognición; registro de proceso."
"Intensificación y fortalecimiento de las Unidades 1 y 2 — primera instancia";"2";"Intensificación de los objetivos mínimos no alcanzados y fortalecimiento de los aprendizajes logrados; núcleos de las Unidades 1 y 2: endpoints, rutas y parámetros, CRUD en memoria, conexión y consultas con Dapper, filtros y JOIN de dos tablas; pistas diferenciadas según la condición de cada estudiante; evaluación del momento en versiones A y B. Sin contenidos nuevos.";"1) Consolidar los núcleos no alcanzados de las Unidades 1 y 2. 2) Ampliar los aprendizajes logrados mediante desafíos de profundización sobre los mismos núcleos. 3) Acreditar los contenidos pendientes con resultado aún provisorio de Apto o No apto.";"Dos encuentros con la estructura del momento de intensificación y fortalecimiento: plenaria de apertura (20 min), bloque 1 (90 min), bloque 2 (90 min) y plenaria de cierre (40 min). Pistas diferenciadas: quienes recuperan trabajan guías de refuerzo sobre los núcleos pendientes; quienes profundizan resuelven desafíos de extensión. El segundo encuentro continúa con la misma estructura y cierra con la evaluación del momento. Rotación de integrantes en el trabajo según presentes y equipos disponibles. No permitido.";"— (evaluación del momento en versiones A y B)";"Resolución de problemas, trabajo colaborativo, metacognición, uso de TIC.";"Aula-taller, PC por grupo, VS Code, terminal, navegador, GitHub, proyector.";"Evaluación del momento en versiones A y B con verificación por criterios; resultado aún provisorio de Apto o No apto; seguimiento de proceso con acompañamiento docente."
"Instancia integradora de las Unidades 1 y 2";"2";"Proyecto puente que integra las Unidades 1 y 2: API con CRUD en memoria y acceso a datos, rutas y parámetros, verbos HTTP, códigos de estado y consultas SQL con Dapper; consigna única para todo el curso desarrollada en dos encuentros; cierre con rúbrica de 100 puntos. Sin contenidos nuevos.";"1) Integrar los fundamentos de Minimal API con el acceso a datos en una API coherente y funcional. 2) Gestionar el desarrollo del proyecto en el repositorio del grupo con commits y push. 3) Comunicar las decisiones técnicas del proyecto y autoevaluar el propio desempeño.";"Dos encuentros con la estructura del momento de intensificación y fortalecimiento: plenaria de apertura (20 min), bloque 1 (90 min), bloque 2 (90 min) y plenaria de cierre (40 min). (19): presentación de la consigna única del proyecto puente, planificación grupal y desarrollo de la primera parte con avance registrado en el repositorio. (20): finalización del proyecto, puesta en común y cierre con aplicación de la rúbrica de 100 puntos. Rotación de integrantes en el trabajo grupal según presentes y equipos disponibles. Quienes completan los requisitos base avanzan con actividades de extensión. No permitido.";"— (proyecto puente con rúbrica de 100 puntos)";"Trabajo colaborativo, resolución de problemas, comunicación técnica, uso de TIC.";"Aula-taller, PC por grupo, VS Code, terminal, navegador, GitHub, proyector.";"Evaluación sumativa con rúbrica de 100 puntos sobre el proyecto puente; seguimiento del proceso por grupo con revisión del repositorio; retroalimentación en la plenaria de cierre."
"CRUD completo con Dapper";"5";"; ; ; ; . Git para entregas, JOIN de 3 tablas, validación de existencia.; POST, PUT, DELETE con Dapper. JOIN triple..";"Implementar las cuatro operaciones CRUD vía endpoints HTTP con Dapper.";"Recuperar SELECT parametrizado y avanzar a escritura en BD. Encuentros 21 a 24 con la secuencia teórica fija (apertura y puente 20 min, teoría mínima 40 min, práctica guiada 70 min, ejercicio independiente 50 min, extensión y consolidación 45 min, cierre 15 min): encuentro 21, ; encuentro 22, ; encuentro 23, ; encuentro 24, . Encuentro 25, cierre de unidad: . Rotación de integrantes en el trabajo grupal según presentes y equipos disponibles. Agregar filtros combinados y paginación simple. No permitido.";"TP-U3: CRUD completo";"Resolución de problemas, pensamiento computacional, trabajo colaborativo, uso de TIC.";"Aula-taller, PC por grupo, VS Code, terminal, navegador, GitHub, proyector.";"Evaluación formativa de proceso con revisiones parciales y seguimiento del repositorio; evaluación sumativa del TP-U3: CRUD completo en el encuentro 26 mediante entrega por GitHub y defensa individual; devolución al inicio del encuentro 27."
