"Nº Clase";"Eje Temático";"Nº Eje";"Carácter/Objetivo";"Tema del Día";"Actividades";"Fecha";"Material"
"1";"Presentación y diagnóstico";"6";"Actitudinal";"Encuadre y diagnóstico";"Contrato, seguridad, higiene,";"";""
"1";"Presentación y diagnóstico";"6";"Actitudinal";"";"EPP y diagnóstico de saberes";"";""
"2";"Intensificación y Fortalecimiento";"6";"Procedimental";"Nivelación: terminal";"Manejo de archivos, carpetas";"";""
"2";"Intensificación y Fortalecimiento";"6";"Procedimental";"";"y comandos de terminal";"";""
"3";"Intensificación y Fortalecimiento";"6";"Procedimental";"Nivelación: web y JSON";"URL, petición y respuesta";"";""
"3";"Intensificación y Fortalecimiento";"6";"Procedimental";"";"HTTP informal, lectura JSON";"";""
"4";"F";"1";"Conceptual";"Primer programa en Python";"Probar Python 3.11 y VS Code";"";""
"4";"F";"1";"Conceptual";"";"Primer programa con input/print";"";""
"5";"F";"1";"Procedimental";"Condicionales y bucles";"Decisiones con if, elif y else";"";""
"5";"F";"1";"Procedimental";"";"Bucles while y for con rangos";"";""
"6";"F";"1";"Procedimental";"Listas y cadenas";"Listas: alta, recorrido, len";"";""
"6";"F";"1";"Procedimental";"";"Cadenas: split, strip, join";"";""
"7";"T";"5";"Procedimental";"Git y GitHub: ciclo completo";"Crear el repo del grupo";"";""
"7";"T";"5";"Procedimental";"";"Primer add, commit y push";"";""
"8";"F";"1";"Actitudinal";"Cierre U1: repaso y TP";"Repasar fundamentos de U1";"";""
"8";"F";"1";"Actitudinal";"";"Entregar TP-U1 por GitHub";"";""
"9";"Fundamentos de Minimal API";"1";"Procedimental";"Evaluación de la Unidad 1";"Entrega por GitHub y defensa";"";""
"9";"Fundamentos de Minimal API";"1";"Procedimental";"";"individual, prueba A/B";"";""
"10";"F";"2";"Conceptual";"Funciones: def y return";"Definir funciones con def";"";""
"10";"F";"2";"Conceptual";"";"Reutilizar código con funciones";"";""
"11";"F";"2";"Procedimental";"Leer archivos de texto";"Leer archivo línea por línea";"";""
"11";"F";"2";"Procedimental";"";"Manejar archivo inexistente";"";""
"12";"F";"2";"Procedimental";"Escribir archivos de texto";"Guardar datos con write";"";""
"12";"F";"2";"Procedimental";"";"try/except con mensajes claros";"";""
"13";"F";"2";"Procedimental";"Menú con persistencia";"Menú con while y funciones";"";""
"13";"F";"2";"Procedimental";"";"Persistir datos en archivo txt";"";""
"14";"F";"2";"Actitudinal";"Cierre U2: repaso y TP";"Repasar funciones y archivos";"";""
"14";"F";"2";"Actitudinal";"";"Entregar TP-U2 por GitHub";"";""
"15";"Acceso a datos con Dapper";"2";"Procedimental";"Evaluación de la Unidad 2";"Entrega por GitHub y defensa";"";""
"15";"Acceso a datos con Dapper";"2";"Procedimental";"";"individual, prueba A/B";"";""
"16";"Intensificación y Fortalecimiento";"6";"Conceptual";"Cierre del cuatrimestre 1";"Devolución U2 y síntesis";"";""
"16";"Intensificación y Fortalecimiento";"6";"Conceptual";"";"Metacognición del cuatrimestre";"";""
"17";"Intensificación y Fortalecimiento";"6";"Procedimental";"Intensif. y fortalec. U1-U2 (1/2)";"Pistas diferenciadas por";"";""
"17";"Intensificación y Fortalecimiento";"6";"Procedimental";"";"condición; núcleos U1-U2";"";""
"18";"Intensificación y Fortalecimiento";"6";"Procedimental";"Intensif. y fortalec. U1-U2 (2/2)";"Refuerzo y profundización";"";""
"18";"Intensificación y Fortalecimiento";"6";"Procedimental";"";"con evaluación del momento";"";""
"19";"Intensificación y Fortalecimiento";"6";"Procedimental";"Proyecto puente (1/2)";"Consigna única, planificación";"";""
"19";"Intensificación y Fortalecimiento";"6";"Procedimental";"";"grupal y primer desarrollo";"";""
"20";"Intensificación y Fortalecimiento";"6";"Procedimental";"Proyecto puente (2/2)";"Finalización y puesta en";"";""
"20";"Intensificación y Fortalecimiento";"6";"Procedimental";"";"común, rúbrica de 100 puntos";"";""
"21";"D";"3";"Procedimental";"Diccionarios y registros";"Dicts: crear, leer, recorrer";"";""
"21";"D";"3";"Procedimental";"";"Lista de registros en memoria";"";""
"22";"D";"3";"Procedimental";"CSV plano a mano";"Leer CSV con split y strip";"";""
"22";"D";"3";"Procedimental";"";"Escribir CSV línea por línea";"";""
"23";"D";"3";"Procedimental";"JSON con la stdlib";"Cargar JSON desde archivo";"";""
"23";"D";"3";"Procedimental";"";"Guardar JSON en archivo";"";""
"24";"D";"3";"Procedimental";"TXT, CSV o JSON: elección";"Comparar los tres formatos";"";""
"24";"D";"3";"Procedimental";"";"Migrar la agenda a JSON";"";""
"25";"D";"3";"Actitudinal";"Cierre U3: repaso y TP";"Repasar dicts, CSV y JSON";"";""
"25";"D";"3";"Actitudinal";"";"Entregar TP-U3 por GitHub";"";""
"26";"Integración y publicación";"3";"Procedimental";"Evaluación de la Unidad 3";"Entrega por GitHub y defensa";"";""
"26";"Integración y publicación";"3";"Procedimental";"";"individual, prueba A/B";"";""
"27";"P";"4";"Procedimental";"Git profesional: ramas y PR";"Crear issues y ramas feature";"";""
"27";"P";"4";"Procedimental";"";"Abrir y revisar un PR";"";""
"28";"P";"4";"Procedimental";"README y main protegida";"Redactar README de portada";"";""
"28";"P";"4";"Procedimental";"";"Proteger main y revisar PR";"";""
"29";"P";"4";"Procedimental";"Integrador: diseño y núcleo";"Definir issues del proyecto";"";""
"29";"P";"4";"Procedimental";"";"Programar el núcleo del menú";"";""
"30";"P";"4";"Procedimental";"Integrador: datos y funciones";"Persistir todo en JSON";"";""
"30";"P";"4";"Procedimental";"";"Terminar validaciones y menú";"";""
"31";"P";"4";"Actitudinal";"Cierre U4: entrega y defensa";"Ultimar la entrega del repo";"";""
"31";"P";"4";"Actitudinal";"";"Ensayar la defensa individual";"";""
"32";"Trabajo integrador profesional";"4";"Actitudinal";"Defensa del integrador";"Defensas individuales del";"";""
"32";"Trabajo integrador profesional";"4";"Actitudinal";"";"trabajo integrador";"";""
"33";"Intensificación y Fortalecimiento";"6";"Conceptual";"Cierre del cuatrimestre 2";"Devolución U4 y síntesis";"";""
"33";"Intensificación y Fortalecimiento";"6";"Conceptual";"";"Metacognición anual";"";""
"34";"Intensificación y Fortalecimiento";"6";"Procedimental";"Intensif. y fortalec. U3-U4 (1/2)";"Pistas diferenciadas por";"";""
