"Nº Clase";"Eje Temático";"Nº Eje";"Carácter/Objetivo";"Tema del Día";"Actividades";"Fecha";"Material"
"1";"Presentación y diagnóstico";"6";"Actitudinal";"Encuadre y diagnóstico";"Contrato, SyH, EPP, diagnóstico";"";""
"2";"Intensificación y Fortalecimiento";"6";"Procedimental";"Nivelación: terminal";"Archivos, carpetas y comandos";"";""
"3";"Intensificación y Fortalecimiento";"6";"Procedimental";"Nivelación: web y entregas";"URL, navegador y entregas";"";""
"4";"F";"1";"Conceptual";"Primer programa y variables";"print, variables y tipos";"";""
"5";"F";"1";"Procedimental";"Entrada y salida por consola";"input, print y conversiones";"";""
"6";"F";"1";"Procedimental";"Condicionales y operadores";"if/elif/else y operadores";"";""
"7";"F";"1";"Procedimental";"Bucles for y while";"for con range y while";"";""
"8";"F";"1";"Actitudinal";"Cierre U1: repaso y TP";"Sistematización y TP-U1";"";""
"9";"Evaluación de unidad";"1";"Procedimental";"Evaluación de la Unidad 1";"Defensa oral y prueba A/B";"";""
"10";"E";"2";"Conceptual";"Listas y mutabilidad";"Listas: métodos básicos";"";""
"11";"E";"2";"Procedimental";"Tuplas y conjuntos (set)";"Tuplas y conjuntos set";"";""
"12";"E";"2";"Procedimental";"Diccionarios: clave y valor";"Dict: keys, values, items";"";""
"13";"E";"2";"Procedimental";"Funciones y ámbito local";"def, parámetros y return";"";""
"14";"E";"2";"Actitudinal";"Cierre U2: repaso y TP";"Sistematización y TP-U2";"";""
"15";"Evaluación de unidad";"2";"Procedimental";"Evaluación de la Unidad 2";"Defensa oral y prueba A/B";"";""
"16";"Intensificación y Fortalecimiento";"6";"Conceptual";"Cierre del cuatrimestre 1";"Devolución U2, síntesis y metac.";"";""
"17";"Intensificación y Fortalecimiento";"6";"Procedimental";"Intensif. y fortalec. U1-U2 (1/2)";"Pistas diferenciadas";"";""
"18";"Intensificación y Fortalecimiento";"6";"Procedimental";"Intensif. y fortalec. U1-U2 (2/2)";"Refuerzo y profundización";"";""
"19";"Intensificación y Fortalecimiento";"6";"Procedimental";"Proyecto puente (1/2)";"Consigna única y plan";"";""
"20";"Intensificación y Fortalecimiento";"6";"Procedimental";"Proyecto puente (2/2)";"Entrega y rúbrica de 100";"";""
"21";"P";"3";"Conceptual";"Cadenas: métodos de texto";"split, strip, join, replace";"";""
"22";"P";"3";"Procedimental";"Validación con try/except";"try/except: entrada válida";"";""
"23";"P";"3";"Procedimental";"Módulos y menú en memoria";"import random y math";"";""
"24";"P";"3";"Procedimental";"Integración: menú del TP";"Diseño del menú del TP";"";""
"25";"P";"3";"Actitudinal";"Cierre U3: repaso y TP";"Sistematización y TP-U3";"";""
"26";"Evaluación de unidad";"3";"Procedimental";"Evaluación de la Unidad 3";"Defensa oral y prueba A/B";"";""
"27";"T";"4";"Conceptual";"Lanzamiento del integrador";"Consigna y portada del repo";"";""
"28";"G";"5";"Procedimental";"Ramas y pull requests";"Issues, ramas y PR";"";""
"29";"T";"4";"Procedimental";"Desarrollo del integrador";"Sprint del trabajo final";"";""
"30";"T";"4";"Procedimental";"Consolidación del integrador";"Cerrar issues y ajustar";"";""
"31";"T";"4";"Actitudinal";"Cierre U4: entrega final";"Sistematización y entrega TF";"";""
"32";"Trabajo integrador profesional";"4";"Actitudinal";"Defensa del integrador";"Defensas individuales";"";""
"33";"Intensificación y Fortalecimiento";"6";"Conceptual";"Cierre del cuatrimestre 2";"Devolución U4, síntesis y metac.";"";""
"34";"Intensificación y Fortalecimiento";"6";"Procedimental";"Intensif. y fortalec. U3-U4 (1/2)";"Pistas diferenciadas";"";""
"35";"Intensificación y Fortalecimiento";"6";"Procedimental";"Intensif. y fortalec. U3-U4 (2/2)";"Refuerzo y profundización";"";""
"36";"Intensificación y Fortalecimiento";"6";"Actitudinal";"Cierre integral anual";"Balance y proyección";"";""
