"Nº Clase";"Eje Temático";"Nº Eje";"Carácter/Objetivo";"Tema del Día";"Actividades";"Fecha";"Material"
"1";"Presentación y diagnóstico";"6";"Actitudinal";"Encuadre y diagnóstico";"Contrato, SyH, EPP, diagnóstico";"";""
"2";"Intensificación y Fortalecimiento";"6";"Procedimental";"Nivelación: terminal";"Archivos, carpetas y comandos";"";""
"3";"Intensificación y Fortalecimiento";"6";"Procedimental";"Nivelación: web y JSON";"Petición y respuesta, JSON";"";""
"4";"I";"1";"Conceptual";"Introducción a .NET y C#";"Presentación .NET, tipos, variables";"";""
"5";"I";"1";"Procedimental";"Estructuras de control y métodos";"Condicionales, bucles y funciones";"";""
"6";"M";"2";"Procedimental";"Minimal API y endpoint GET";"Primera Minimal API con MapGet";"";""
"7";"M";"2";"Procedimental";"Parámetros y rutas en GET";"Endpoint con parámetros de ruta";"";""
"8";"M";"2";"Actitudinal";"Cierre U1: repaso y TP";"Sistematización y TP-U1";"";""
"9";"Fundamentos de Minimal API";"1";"Procedimental";"Evaluación de la Unidad 1";"Defensa oral y prueba A/B";"";""
"10";"S";"3";"Conceptual";"SQLite y SELECT básico";"Consultas SELECT con WHERE";"";""
"11";"S";"3";"Procedimental";"SQL: JOIN y ORDER BY";"JOIN entre pacientes y provincias";"";""
"12";"D";"4";"Procedimental";"Dapper: Query<T> con alias";"Mapeo con Dapper y records";"";""
"13";"D";"4";"Procedimental";"Parámetros y LIKE en Dapper";"Consultas parametrizadas con Dapper";"";""
"14";"D";"4";"Actitudinal";"Cierre U2: repaso y TP";"Sistematización y TP-U2";"";""
"15";"Acceso a datos con Dapper";"2";"Procedimental";"Evaluación de la Unidad 2";"Defensa oral y prueba A/B";"";""
"16";"Intensificación y Fortalecimiento";"6";"Conceptual";"Cierre del cuatrimestre 1";"Devolución U2, síntesis y metac.";"";""
"17";"Intensificación y Fortalecimiento";"6";"Procedimental";"Intensif. y fortalec. U1-U2 (1/2)";"Pistas diferenciadas";"";""
"18";"Intensificación y Fortalecimiento";"6";"Procedimental";"Intensif. y fortalec. U1-U2 (2/2)";"Refuerzo y profundización";"";""
"19";"Intensificación y Fortalecimiento";"6";"Procedimental";"Proyecto puente (1/2)";"Consigna única y plan";"";""
"20";"Intensificación y Fortalecimiento";"6";"Procedimental";"Proyecto puente (2/2)";"Entrega y rúbrica de 100";"";""
"21";"C";"5";"Procedimental";"INSERT con Dapper y POST";"Alta con ExecuteScalar y POST";"";""
"22";"C";"5";"Procedimental";"DELETE con Dapper y MapDelete";"Borrado con Execute";"";""
"23";"C";"5";"Procedimental";"UPDATE con Dapper y MapPut";"Actualización con Execute PUT";"";""
"24";"C";"5";"Procedimental";"CRUD completo y JOIN triple";"JOIN 3 tablas en API CRUD";"";""
"25";"C";"5";"Actitudinal";"Cierre U3: repaso y TP";"Sistematización y TP-U3";"";""
"26";"Integración y publicación";"3";"Procedimental";"Evaluación de la Unidad 3";"Defensa oral y prueba A/B";"";""
"27";"P";"6";"Procedimental";"Git profesional: ramas y PR";"Issues, ramas feature y PR";"";""
"28";"P";"6";"Procedimental";"README de portada y más";"README, main protegida";"";""
"29";"P";"6";"Procedimental";"Consolidación CRUD con JOINs";"Repaso CRUD + JOINs";"";""
"30";"P";"6";"Procedimental";"Avance trabajo final";"Trabajo final con DB real";"";""
"31";"P";"6";"Actitudinal";"Cierre U4: entrega final";"Sistematización y entrega TF";"";""
"32";"Trabajo integrador profesional";"4";"Actitudinal";"Defensa del integrador";"Defensas individuales";"";""
"33";"Intensificación y Fortalecimiento";"6";"Conceptual";"Cierre del cuatrimestre 2";"Devolución U4, síntesis y metac.";"";""
"34";"Intensificación y Fortalecimiento";"6";"Procedimental";"Intensif. y fortalec. U3-U4 (1/2)";"Pistas diferenciadas";"";""
"35";"Intensificación y Fortalecimiento";"6";"Procedimental";"Intensif. y fortalec. U3-U4 (2/2)";"Refuerzo y profundización";"";""
"36";"Intensificación y Fortalecimiento";"6";"Actitudinal";"Cierre integral anual";"Balance y proyección";"";""
