"Nº Clase";"Eje Temático";"Nº Eje";"Carácter/Objetivo";"Tema del Día";"Actividades";"Fecha";"Material"
"1";"Presentación y diagnóstico";"6";"Actitudinal";"Encuadre y diagnóstico";"Contrato, seguridad, higiene,";"";""
"1";"Presentación y diagnóstico";"6";"Actitudinal";"";"EPP y diagnóstico de saberes";"";""
"2";"Intensificación y Fortalecimiento";"6";"Procedimental";"Nivelación: terminal";"Manejo de archivos, carpetas";"";""
"2";"Intensificación y Fortalecimiento";"6";"Procedimental";"";"y comandos de terminal";"";""
"3";"Intensificación y Fortalecimiento";"6";"Procedimental";"Nivelación: web y entregas";"URL, navegador y plataforma";"";""
"3";"Intensificación y Fortalecimiento";"6";"Procedimental";"";"web de entregas del curso";"";""
"4";"F";"1";"Conceptual";"Primer programa y variables";"Primer programa en Python con";"";""
"4";"F";"1";"Conceptual";"";"VS Code; variables y tipos";"";""
"5";"F";"1";"Procedimental";"Entrada y salida por consola";"Leer datos con input() y";"";""
"5";"F";"1";"Procedimental";"";"convertir tipos; print y f-strings";"";""
"6";"F";"1";"Procedimental";"Condicionales y operadores";"Comparaciones y operadores";"";""
"6";"F";"1";"Procedimental";"";"lógicos; if, elif y else";"";""
"7";"F";"1";"Procedimental";"Bucles for y while";"Repetir con for sobre range";"";""
"7";"F";"1";"Procedimental";"";"y strings; bucles while";"";""
"8";"F";"1";"Actitudinal";"Cierre U1: repaso y TP";"Repasar U1 y cerrar el TP-U1;";"";""
"8";"F";"1";"Actitudinal";"";"ciclo de entrega con Git";"";""
"9";"Evaluación de unidad";"1";"Procedimental";"Evaluación de la Unidad 1";"Entrega por GitHub y defensa";"";""
"9";"Evaluación de unidad";"1";"Procedimental";"";"individual, prueba A/B";"";""
"10";"E";"2";"Conceptual";"Listas y mutabilidad";"Crear listas; append, pop,";"";""
"10";"E";"2";"Conceptual";"";"index y sort; mutabilidad";"";""
"11";"E";"2";"Procedimental";"Tuplas y conjuntos (set)";"Tuplas inmutables y sets";"";""
"11";"E";"2";"Procedimental";"";"sin duplicados ni orden";"";""
"12";"E";"2";"Procedimental";"Diccionarios: clave y valor";"Consultar y recorrer";"";""
"12";"E";"2";"Procedimental";"";"diccionarios; altas y bajas";"";""
"13";"E";"2";"Procedimental";"Funciones y ámbito local";"Definir funciones con";"";""
"13";"E";"2";"Procedimental";"";"parámetros; return y ámbito";"";""
"14";"E";"2";"Actitudinal";"Cierre U2: repaso y TP";"Repasar colecciones y";"";""
"14";"E";"2";"Actitudinal";"";"funciones; entregar TP-U2";"";""
"15";"Evaluación de unidad";"2";"Procedimental";"Evaluación de la Unidad 2";"Entrega por GitHub y defensa";"";""
"15";"Evaluación de unidad";"2";"Procedimental";"";"individual, prueba A/B";"";""
"16";"Intensificación y Fortalecimiento";"6";"Conceptual";"Cierre del cuatrimestre 1";"Devolución U2 y síntesis";"";""
"16";"Intensificación y Fortalecimiento";"6";"Conceptual";"";"Metacognición del cuatrimestre";"";""
"17";"Intensificación y Fortalecimiento";"6";"Procedimental";"Intensif. y fortalec. U1-U2 (1/2)";"Pistas diferenciadas por";"";""
"17";"Intensificación y Fortalecimiento";"6";"Procedimental";"";"condición; núcleos U1-U2";"";""
"18";"Intensificación y Fortalecimiento";"6";"Procedimental";"Intensif. y fortalec. U1-U2 (2/2)";"Refuerzo y profundización";"";""
"18";"Intensificación y Fortalecimiento";"6";"Procedimental";"";"con evaluación del momento";"";""
"19";"Intensificación y Fortalecimiento";"6";"Procedimental";"Proyecto puente (1/2)";"Consigna única, planificación";"";""
"19";"Intensificación y Fortalecimiento";"6";"Procedimental";"";"grupal y primer desarrollo";"";""
"20";"Intensificación y Fortalecimiento";"6";"Procedimental";"Proyecto puente (2/2)";"Finalización y puesta en";"";""
"20";"Intensificación y Fortalecimiento";"6";"Procedimental";"";"común, rúbrica de 100 puntos";"";""
"21";"P";"3";"Conceptual";"Cadenas: métodos de texto";"Procesar entrada con";"";""
"21";"P";"3";"Conceptual";"";"split, strip, join, replace";"";""
"22";"P";"3";"Procedimental";"Validación con try/except";"Atrapar ValueError al";"";""
"22";"P";"3";"Procedimental";"";"convertir; reintentos";"";""
"23";"P";"3";"Procedimental";"Módulos y menú en memoria";"Mención de import para";"";""
"23";"P";"3";"Procedimental";"";"built-ins: random y math";"";""
"24";"P";"3";"Procedimental";"Integración: menú del TP";"Funciones, colecciones y";"";""
"24";"P";"3";"Procedimental";"";"texto en un solo archivo";"";""
"25";"P";"3";"Actitudinal";"Cierre U3: repaso y TP";"Repasar texto y validación;";"";""
"25";"P";"3";"Actitudinal";"";"entregar TP-U3";"";""
"26";"Evaluación de unidad";"3";"Procedimental";"Evaluación de la Unidad 3";"Entrega por GitHub y defensa";"";""
"26";"Evaluación de unidad";"3";"Procedimental";"";"individual, prueba A/B";"";""
"27";"T";"4";"Conceptual";"Lanzamiento del integrador";"Devolución U3 y consigna";"";""
"27";"T";"4";"Conceptual";"";"del trabajo final; README";"";""
"28";"G";"5";"Procedimental";"Ramas y pull requests";"Ramas por feature y pull";"";""
"28";"G";"5";"Procedimental";"";"requests; main protegida";"";""
"29";"T";"4";"Procedimental";"Desarrollo del integrador";"Desarrollo por issues y";"";""
"29";"T";"4";"Procedimental";"";"ramas; revisión entre pares";"";""
"30";"T";"4";"Procedimental";"Consolidación del integrador";"Completar funcionalidades;";"";""
"30";"T";"4";"Procedimental";"";"preparar la defensa";"";""
"31";"T";"4";"Actitudinal";"Cierre U4: entrega final";"Repasar ejes del curso;";"";""
"31";"T";"4";"Actitudinal";"";"cerrar el trabajo final";"";""
"32";"Trabajo integrador profesional";"4";"Actitudinal";"Defensa del integrador";"Defensas individuales del";"";""
"32";"Trabajo integrador profesional";"4";"Actitudinal";"";"trabajo integrador";"";""
"33";"Intensificación y Fortalecimiento";"6";"Conceptual";"Cierre del cuatrimestre 2";"Devolución U4 y síntesis";"";""
"33";"Intensificación y Fortalecimiento";"6";"Conceptual";"";"Metacognición anual";"";""
"34";"Intensificación y Fortalecimiento";"6";"Procedimental";"Intensif. y fortalec. U3-U4 (1/2)";"Pistas diferenciadas por";"";""
"34";"Intensificación y Fortalecimiento";"6";"Procedimental";"";"condición; núcleos U3-U4";"";""
